0	kong
1	gan
10	teng
11	beno
12	mou
13	qiu
14	zhuo
15	pei
16	kua
17	jieo
18	ran
19	jue
2	hun
20	zun
3	cen
4	pan
5	sai
7	kou
8	niu
9	yaon
Akademia konfucjańska	dian-ba
Cesarz	gong-piao
Cesarz (tytuł)	gong-piao
Cesarzowa	pan-tu
Cesarzowa wdowa	tie-dei
Dynastia	dui-juan
Geograficzne Centrum	luan-huai
Jelito cienkie	jia-tui
Jelito cienkie (organ TCM)	jia-tui
Jelito grube	zhui-wen
Jelito grube (organ TCM)	zhui-wen
Minister	fu-ze
Ministerstwo Dochodów	nano-rua
Ministerstwo Personelu	zei-mao
Ministerstwo Sprawiedliwości	dui-qiong
Ministerstwo Wojny	lao-ceng
Niedobór	nu-xun
Niedobór (TCM)	nu-xun
Pęcherz moczowy	seng-da
Pęcherz moczowy (organ TCM)	seng-da
Pęcherzyk żółciowy	ruo-dao
Pęcherzyk żółciowy (organ TCM)	ruo-dao
Płuco	ren-ban
Płuco (organ TCM)	ren-ban
Turniej Boskiego Cesarza	lue-zhuan
aby pokonać twardość	ci-die
adept	ma-cha
agat	kei-niang
akapit	shan-zuo
aksamitny	zang-fou
aktualizować	wei-bin
akupunktura i moksybucja	mi-ba
akupunkturzysta	mi-ba-ren
albo	douo
ale	tan
ale używany)	jun-qi
alkohol	geng-peng
alkohol, wino	geng-peng
altair	guango-ku
altair (pasterz wołów	guango-ku
altair (pasterz wołów, gwiazda)	guango-ku
aluzja klasyczna	wa-nuan
ametyst	a-yin-gen
amitabha	mo-wan-huang
amitabha (mantra)	mo-wan-huang
amulet ochronny	cuo-fa-duo
ananas	kuang-qing
ani trochę	fang-zhao
anyż gwiaździsty	liao-qia
apatyczny	dong-shuan
apteka	tuo-luo
arbuz	guoo-can
architekt	lian-reng-ren
architektura	lian-reng
argumentować	ca-li
arhat	feng-pian
armia	wu-xuan
aromat	ne-gu
aromatyczny	dui-za
artykuł	shui-ai
arystokratyczny	gui
ashikagama	ashikagama
ashikagama (nazwa własna)	ashikagama
aspekt trwający	nei
aspekt trwający (marker)	nei
astragalus	li-lang
astronomia	zuan-zhi
atakować	sun-kan
atractylodes	tan-da
atrakcyjny	ne-lai
auspicyjny	chuang-weng
autor	gen-pa
autorytet	run-hai
autostrada	en-dun-le
ba-Xue mian-kou	niu-rong
babcia	dan-shun
babcia od matki	ei-ma
babcia od ojca	cu-ran
badania	wen-bei
bagno	huai-luan
bagno, mokradła	huai-luan
bakłażan	zhan-ti
balustrada	da-xun
bambus	zhuo-ming
bambus łzawy	zhuo-que
bambusa rdzawa	zhuo-mang
banan	guoo-gan
bank	pie-miu
bankiet	jue-la
banknot srebrny	liu-kao
bar	gong-gei
baran	kao-fa
baranina	rouo-de
bardzo	beio
bardzo ciężki	zhui-za
bardzo szybki	cu-wei
baron	cuan-qing
barwienie	pu-cha
barwnik	zhong-yue
basen	ti-dun-ou
bat jeździecki	tuan-jiong
bawełna	zhe-qin
bawełna (tkanina)	zhe-qin
bawół wodny	niuo-wo
bać się	ru
belka	pi-ri
bezcenny	lang-shang
bezlitosny	nei-sun
bezpieczeństwo	diao-eng
bezpiecznej podróży	gen-hen-jiang
beżowy	beng-dao
biała herbata	gango-eng
biała rosa	de-seng
biały	miu
biały tygrys	tigo-zen
biblioteka	xu-pu-nei
bicie dzwonu	shun-you
bicz	fo-jiong
bicz dziewięcioczłonowy	jia-jia-fo
biec	le
biegać	gan-a
bielizna	shuai-nei
biodro	bian-xian
biografia	se-shang
biurko	pen-kei
bić pokłony	zhuo-qun
bić w bęben	suo-pai
bliscy	sang-zao
bliscy,	sang-zao
bliski	gua
blokować	can-quan
bo	gun
bo / ponieważ	gun
bob	caio-er
bodhisattwa	pan-gong
bogactwo	rong-cang
bogaty	nue
bracia	wen-ling
brama	rong-ji
brama (budowla)	rong-ji
brama góry	shano-sun
brama góry (klasztoru)	shano-sun
bransoletka	xi-suo
brat	rui
brat cioteczny	gen-da
brat cioteczny (młodszy)	gen-da
brać kąpiel	mie-ken
broda	yao-ru
broda, wąsy	yao-ru
brokat	zei-fu
bronić się	ye-kua
browarnik	cheng-yuan
browarnik, gorzelnik	cheng-yuan
broń	chui-kan
brudny	huao
brutalny	cang-bing
brutalny, gwałtowny	cang-bing
brwi	ding-han
bryła	xiong-wa
brzeg rzeki	heo-yue
brzoskwinia	guoo-nuo
brzuch	de-tian
brzydki	kui
brązowy	chai-shun
budda-przodek	nue-qi
buddyzm	dian-zhan
budować	zu
budować łódź	zu-chu
budowniczy łodzi	teng-zhang
budynek piętrowy	zu-ting
budzący respekt	que-shuai
burza	baoo-ka
burza z piorunami	baoo-xu
burzyć	cuan-yong
but	heng
butelka	guan
butelka wody	a-yang
bułeczki gotowane na parze	bao-zi
bułeczki na parze	hun-rou
bydło	nin-xie
byk	dang-cong
bystry	kai-ha
bystry, mądry	kai-ha
być	ai
być może	xun-zei
być posłusznym	gui-mie
ból	ang-ran
ból brzucha	hun-re
ból głowy	ne-suo
ból pleców	sou-zhui
ból zęba	xiang-dong
bóstw)	si-mu
bóstwo	dai-pa
bóstwo	juan-ru
bęben	cou-ning
błogosławieństwo	cuan-se
błyskawica	diano-guo
błyskawiczny	diano-qiong
błyszczący	diu-zhai
błyszczący	re-nai
błąd	shuo-lin
błękitny	kun-zou
cal	ju-le
cal (~3cm)	ju-le
cang-Sou	sa-wa
cang-Sou ze skrzyżowanymi nogami	zhang-ji
całkiem	eng-bin
całkowicie	su-zha
cały	si-zhai
cecha charakterystyczna	cen-kai
cegła	bei-xi
cel	geng-heng
cel	hun-dian
cena	jia-ge
cena zakupu	che-hong
cenny	eng-hei
cenny, rzadki	eng-hei
ceramika	deng-pu
ceremonia	diao-you
ceremonia buddyjska	hun-lan
ceremonia pogrzebowa	pin-za
ceremonia taoistyczna	gou-gei
cesarskie	ne-zha
chaotyczny	zong-seng
charakter	ao-long
charakter (rzeczy)	ao-long
chcieć	guoo
chen Lu	chen-lu
chen Lu (imię własne)	chen-lu
chińska jagoda woskowa	kai-tuan
chleb	miano
chmura	tiano-lian
chodzić	di-cu
chodzić, iść pieszo	di-cu
choroba	mian-lue
choroba (formalne)	mian-lue
chory	qia
chorągiew	miu-du
chronić	liu-xia
chropowaty	mo-sou
chropowaty, drapiący	mo-sou
chryzantema	dei-xue
chusta	si-mo
chusta, szal	si-mo
chusteczka	chuan-che
chwalić	di-fan
chwała	rongo
chwytanie i kontrola	beng-gao
chwytać	cang-huang
chwytać, łapać	cang-huang
chłodny	weno-fou
chłód	tian-pin
cichy	ango-pen
ciekawy	qu-yuan
ciekawy, interesujący	qu-yuan
ciemnoczerwony	mao-gen
ciemnoniebieski	nao-ling
ciemnozielony	nano-liu-li
ciemność	ting-gua
ciemny	mano
cienkość	shuio
ciepły	weno-feno
cierpienie	ru-meng
cierpienie wewnętrzne	o-kuo
cień	mi-sheng
cieśla	xin-hou
cieśnina	seng-fang
ciocia	he-zhuan
ciocia (siostra ojca)	he-zhuan
ciotka	lang-ku
ciotka (siostra ojca)	lang-ku
ciągle	zu-run
ciąć	pa
ciąża	shuang-lai
ciężki	haoo
ciężkość	yun-bing
cnota	zhi-zhai
cnota, moc	zhi-zhai
co	neng-ru
cofać się	nie-wu
cofać się, podupadać	nie-wu
cordyceps	zhu-zong-ou
coś	qie
cukry	ruan-gan
cyfra	gang-can
cylindryczny	sheng-ting-san
cynobrowy	ta-tiao
cyprys	zi-fan
cytryna	guoo-ze
cywilizacja	tiao-heng
czajnik	xing-bu-sa
czajnik do herbaty	ning-wen
czający się tygrys	tigo-ge
czający się tygrys (idiom)	tigo-ge
czapka	teng-xia
czapla biała	te-bian
czapla szara	si-sen
czarka do herbaty	xuan-fu
czarna herbata	gango-min
czarny	mei
czarny wojownik	sheo-da
czarny wojownik (kierunek północ)	sheo-da
czarny wojownik (kierunek północ), żółw i wąż	sheo-da
czarny wojownik, żółw i wąż	sheo-da
czas	huan
czasem	gang-nou
czcigodny	si-mu
czcigodny (dla władców	si-mu
czcigodny (dla władców/bóstw)	si-mu
czcić	dang-pin
czcić bogów	chong-qun
czcić przodków	diu-wei
czekać	wa
czerwony	mao
czerwony ptak	mao-ban
czerwony ptak (kierunek południe)	mao-ban
czesać włosy	zhu-kang
czoło	geng-guo
czterdzieści	chui-luan
cztery	xie-sao
cztery skarby gabinetu	zhio-chu-o
cztery skarby gabinetu (pędzel	zhio-chu-o
cztery skarby gabinetu (pędzel, tusz, papier, kamień)	zhio-chu-o
czterysta	nong-reng
czuć	zuan-chan
czwarty	yuan-cang
czysta Kraina	seng-ne
czysty	cha-che
czysty	cha-hui
czytać	mi
czytać książki	mi-ming
czytelnik	mi-zu
czyścić	cha-jing
czyścić, myć	cha-jing
często	nang-diao
częściowo	li-hou
częściowo pochmurnie	tiano-gou
członek	yao-ce
członek sekty	kuo-kun
członek sekty/klanu	kuo-kun
człowiek	que
człowiek niski	chu-rao
człowiek zemsty	leng-mi
córka	gui-liang
dachówka	zang-qie
daktyl chiński	zu-ji
dawać	nian-cai
dawać rabat	jue-heng
dawać w prezencie	ai-niang
dawno się sui-qu widzieliśmy	cou-quan-piao
dawno temu	ren-shui
dać	dio
dać prezent	pai-gei
dbający	kao-dao
debata	dang-hang
debata, spór	dang-hang
decydować	yu-kao
degustować	ken-qin
degustować	lue-xiu
degustować herbatę	ken-xi
dekarz	zhuang-dang
dekoracja	nue-nou
dekret prawny	yan-gu
delektować się	lue-xiu
delektować się, degustować	lue-xiu
delfin	haio-qiu
delikatnie pachnący	chua-zhou
delikatnie piękny	zhou-nong
delikatny	sui-liao
delikatny	xin-pan
delikatny	zha-mang
delikatny, subtelny	zha-mang
demon	hao-quan
demon, potwór	hao-quan
deska	nuo-xi
deszcz	yuo
deszcz zbóż	yuo-ben
deszczowy dzień	yuo-ming
dharma buddyjska	ping-qin
diagnoza	zhao-xuan
diagram Taiji	mang-tai-nuan
diagram rzeki	wa-luo
dialog	qia-zhua
diament	duo-xuan
diu-Ruan z łóżka	pen-lun
dlaczego	xiaoo-na-shu
dmuchać	shio-han
dmuchać (na gorące)	shio-han
do widzenia	gu-rao
dobić do brzegu	haio-que
dobranoc	guang-suo
dobrobyt	geng-nuan-tuan
dobry	nue-han
dobry przyjaciel	de-wu
dobrze	suo-zhua
dobrze, porządnie	suo-zhua
dodatkowy	zi-lang
dodatkowy, pomocniczy	zi-lang
dodawać	tan-ou
dogodny	ceng-zun
doktor	lei-gun
doktor (stopień)	lei-gun
dokument	lai-kei
dokładać drewna	tuo-lin
dokładnie południe	fang-nan-zheng
dokładnie północ	fang-bei-zheng
dokładnie wschód	fang-dong-zheng
dokładnie zachód	fang-xi-zheng
dokładny	liao-ri
dokładny, precyzyjny	liao-ri
dolina	guo-guang
dom	shio
dorsz żółty	dongo-huan
doskonały	o-yang
doskonały, wyśmienity	o-yang
dostarczać	ting-gen
dostać	ei
dostosowywać	kuo-cao
dotknąć	cuo
dotrzeć	tiao-chou
dowód	shai-luan
dowódca dziesiątki	su-cen
dowódca wojskowy	zhuai-shen
doświadczać	ai-cui
doświadczać, zrozumieć	ai-cui
doświadczenie	da-zhu
dość	eng-bin
dość, całkiem	eng-bin
drabina	xian-miao
drapiący	mo-sou
drewniany bęben rybka	hai-jin
drewno	zui
drewno cedrowe	li-le
drewno różane	hu-pian
drewno sosnowe	die-shen
drobny	mang-lao
droga	tai
droga Człowieka	pei-gai
droga Nieba	pu-dao
droga Niebios jest bez końca	tian-ruo
droga medyczna	ji-kai
drogą lądową	mei-ya
drogą wodną	dei-kei
drugi	che-yao
drugorzędny	gao-beng
drwal	qian-chong
drzemka	miao-zui
drzewo	xiaoo
drzewo sandałowe	tano-kan
drzwi	sou
drążek	miu-nin
dręczyć	qiu-kuan
duch	lue-ning
duch (ogólnie)	lue-ning
duch przodka	qie-you
duch węża	han-hei
duchy i bóstwa	pei-nan
dudnienie	zhuang-gua
duma	rongo-pao
duma (pozytywna)	rongo-pao
dusić powoli	duo-ting
dusić w sosie	yoo-xia
dusza	hu-wa
dużo	gaoo
duży deszcz	yuo-tong
dwa	hu-ting
dwieście	tai-biao
dynia	hui-den
dyscyplina naukowa	bing-du
dyskutować	fo-ping
dystrybuować	se-ya
dywan	ken-xing
dywan, mata	ken-xing
dzban	nun-jiao
dzban na wodę	wen-qia
dziadek	dui-bai-suan
działanie	cha-wu
działanie, efekt	cha-wu
dziczyzna	su-tai
dziecko	reno
dziedziniec	sao-dong
dzielić	guo-liang
dzielić, rozdzielać	guo-liang
dziesiąty	za-niu
dziewiąty	wo-lun
dziewięćdziesiąt	shuan-wen
dziewięćset	meng-chuai
dzieło	juan-tuo
dzieło, utwór	juan-tuo
dzień	jian
dzień dobry	zhuang-rui
dzik	ru-gu
dzika trawa	xino-piao
dzikie pole	man-pu
dzikie zwierzę	dongo-ta
dzikie zwierzęta	dongo-shui
dzisiaj	shuang-hen
dziwny	zan-hu
dziwny, osobliwy	zan-hu
dzięgiel chiński	chu-zhuan
dziękować	zuo-zhui
dziękuję	poye
dół	cang-sou
dążyć do celu	nue-ze
dłoń	zan-di
długa szata	sang-ha
długi	die
długi czas	suo-lei
długotrwały	chan-miao
długowieczność	geng-nuan-tuan
długość	guan-sen
dłuto	niang-cun
dźgać	gu-che
dźwigać	ne-nei
dźwigać (na ramieniu)	ne-nei
dźwięczny	cha-che
dźwięczny, czysty	cha-che
dźwięk	jiao-fo
dżdżownica	shao-guo
dżungla	lin-tuo
edukować	sui-den
efekt	cha-wu
egzaminy cesarskie	hu-sui
ekologia	lue-hang
ekscytacja	miu-shui
ekspert	lian-zhuang
eksploracja	zhun-nun
eksploracja, poszukiwanie	zhun-nun
emocja	chan-kou
emocja (rzeczownik)	chan-kou
energia	rang-bei
energiczny	bian-ruo
energiczny, żywy	bian-ruo
enoki	pin-lai-huai
entuzjastyczny	ne-chong
entuzjazm	za-qing
entuzjazm, zapał	za-qing
epoka	hai-le
era	hai-le
era, epoka	hai-le
erudycja	o-zao
erupcja	guai-suan
esej	sheng-ben
esej, kompozycja pisemna	sheng-ben
esencja-energia-duch	sang-di-dang
etap	tou-qiang
etap	zou-gui
etap, faza	tou-qiang
etyka	sai-mei
etykieta	miao-ju
etykieta	quan-mei
ewolucja	le-ceng
fabryka	jun-heng
faktyczny	shuai-ga
fala	dai-pao
fantazja	zan-shou
fantazja, iluzja	zan-shou
farbarz	rua-chun
farma	jian-run
fasola	caio-er
fasola azuki	caio-sheng
fasola mung	caio-zi
fasola, bob	caio-er
faza	tou-qiang
fałszywy	de-shun
fałszywy	lie
feniks	jing-gu
fermentować	shun-bu
fermentować, warzyć	shun-bu
festiwal	que-na
filiżanka do herbaty	chan-ni
filozof	chi-qia-zui
filozof	zhe-ren
filozofia	zha-chua
fioletowy	en-zong
firmiana	gun-ping
flegma-wilgoć	zhuan-reng
flet bambusowy	zhuo-ce
forma	chu-a
forma,	chu-a
fortuna	geng-nuan-tuan
fortuna, dobrobyt, długowieczność	geng-nuan-tuan
futro	zhao-shui
gabinet	lun-ao
gad	pai-zun
ganić	cen-bu
ganić, łajać	cen-bu
gardło	ao-meng
garncarz	ban-hun
garnek	mai-tang
garnitur	bie-wa
gasić ogień	zha-mie
gaza	ca-zui
gaza, muślin	ca-zui
gazeta	ken-dong
gałązki cynamonu	liao-shang
gałąź	zhio-ta
gdzie	hen-yuan
generał	zei-men
geografia	reng-xue
gigantyczny	bie-men-xin
gigantyczny	wen-reng
glina	la-sha
glina garnczarska	cuo-rao
globalne ocieplenie	qio-yu-en
gnać	chua-chu
gniew	nuo-dun
godzina	mi-fou
goleń	chi-mie
gorliwy	ne-chong
gorliwy, entuzjastyczny	ne-chong
gorzelnik	cheng-yuan
gorzki	kano
gorąca energia	qio-gen
gorąco płuc	qio-song
gorący	weno-eng
gospodarz	ke-bu
gotowana woda	zhe-heng
gotowany	mou-tao
gotowany na parze	mou-kang
gotowany ryż	fano-sheng
gotowany, ugotowany	mou-tao
gotować	mou-wen
gotować na parze	mou-dan
gotować na parze bułeczki	mou-kua
gotować ponownie	mou-ba
gotować ryż	fano-jing
gotować w wodzie	mou-jia
gotować wodę	mou-pa
gotowy	zhüo
gołąb	geo-ku
gościnny	miao-gu
gość	zen-ding
goździk	liao-ci
gra	fen-qiu
grabie	tiao-xuan
grad	nin-lin
granit	liu-reng-chen
gratulacje	feng-zheng
grawerować	ping-shun
grać na flecie	shuai-duan
grać na instrumencie strunowym	xu-lin
grillować	kaoo-jin
grubość	jiang-nue
gruszka	guoo-ye
grzeczność	nin-zeng
grzmot	ai-ma
grzyb	ji-nai
grzybek srebrny	liu-gao
grzywna	tian-guai
guan-Ruan	dao-tuan
guan-Ruan (lutnia)	dao-tuan
guanyin	rao-en
guanyin (bogini litości)	rao-en
gubernator	mang-wei
gubernator generalny	keng-feng
gubernator prowincji	pen-ne
guqin	juan-bin
guqin (cytra)	juan-bin
guzheng	tian-jian
guzheng (cytra)	tian-jian
gwarancja	yuan-meng
gwałtowny	cang-bing
gwiazda	guango-no
gwiazda)	guango-die
gwiazda)	guango-ku
gwóźdź	fang-zhuan
góra	shano
górska ścieżka	sheng-bai
gęsina	xu-fa
gładki	zhuai-niu
głaz	nao-xuan
głodny	pie
głos śpiewu	song-zhuo
głowa	chao
głośny	paoo
głupi	cu-hun
głód	sen-zhua
główny	kuai-zei
główny, podstawowy	kuai-zei
głęboki	cui-ca
głęboki smutek	beio-shuo
haczyk	guang-nang
haczyk	jie-na
hafciarka	nai-fen
haft	zun-neng
hala	jiang-jian-zou
hala pałacowa	nian-se
handel	jian-lang
handel, transakcja	jian-lang
harmonia	ango-jiu
hałas	dang-hao
hałaśliwy	kuang-hen
heijiro	heijiro
heijiro (imię własne)	heijiro
herbaciarnia	pian-zuo
herbata	gango
herbata jaśminowa	gango-fa
herbata kwiatowa	xie-feng
hełm	ou-tui
hipokryta	de-shun
hipokryta, fałszywy	de-shun
hipopotam	xuan-ze
historia	ban-zhan
historia, opowieść	ban-zhan
historyczne	luan-huai
historyczne/Geograficzne Centrum	luan-huai
historyk	dui-chang-shuai
historyk	shi-ren
homar	xialo-zhen
honor	rongo
honor, chwała	rongo
hołd	jue-tiao
hołd (w mantrach)	jue-tiao
hrabia	hun-ning
huk	chuang-rui
i	lun
ideał	cen-zhao
igiełkowaty	wu-nou
igła do szycia	nie-huai
ile	nai-ming
iloraz	men-la
ilość	er-fou
iluzja	zan-shou
imbir	liao-rang
imbir świeży	liao-nao
imię	sha
imperium	meng-shua
indygo	caoo-cuo
indygo (roślina)	caoo-cuo
informacja	bin-zei
informacja	shuang-zhan
inny	lang-du
inny	wang-hu-su
inspirować	beng-lue
instalować	ceng-cun
instrument dęty	ji-tao
instrument muzyczny	ben-cen
instrument perkusyjny	cang-zun-ken
instrument strunowy	tan-fou
inteligencja	ga-tao
inteligentny	geng-wai
intencja	shui-jia
intensywnie pachnący	jue-nian
intensywny	zuo-zhou
intensywny (kolor)	zuo-zhou
interesujący	qu-yuan
intryga	cun-ze
intuicja	dang-xu
inżynier	gong-cheng-ren
inżynier	zhen-diu-jun
irytacja	nuo-dong
istnieć	pang-hang
istnieć, mieć	pang-hang
iść	ce
iść pieszo	di-cu
iść szybko	tuan-re
iść wolno	ling-zai
ja	ao
jabłko	guoo-shang
jadalny grzyb	sou-an
jade	chan-ruo
jadeitowa Rzeka	heo-ha
jadekit	ting-nie
jadowity wąż	sheo-shuo
jagody goji	zhu-chou
jajka	sen-shuo
jajko kacze	chong-zhao
jajko kurze	jio-ruan
jajko solone	zheng-diu
jajko stulecia	guai-can
jak	kuang-miu
jak, podobny do	kuang-miu
jak, podobny do (spójnik)	kuang-miu
jakość	ming-en
jaskinia	chan-mang
jaskinia w górze	a-ke
jaskrawozielony	nano-tun
jaskółka	yeno-cou
jasnoczerwony	mao-chuang
jasność	long-gong
jasny	maio
jaspis	chan-ruo
jaspis, jade	chan-ruo
jastrząb	yingo-tou
jastrząb, sokół	yingo-tou
jaszczurka	sheo-hua
jaszczurka ścienna	sheo-shi
jechać	bie
jechać wozem	kun-lin
jeden	cou-chang
jedna czwarta	hang-bin-min
jedna z 5 części nocy	gun-zhun
jednoczyć	duo-mian
jedność nieba i człowieka	lai-zuo-ti
jednym	xia-piao
jedwab	geng-xi
jedzenie	shio-deng
jego Wysokość	fu-diu
jego Wysokość (cesarz)	fu-diu
jeleń	luo-nie
jesień	mei-liang
jeszcze	nen
jeszcze sui-qu	yu-bin
jezioro	huoo
jeśli	jiao
jeść	ji
jeździć konno	yin-pang
jeż	lin-zhe
jiang-Zhua	duo-pao
jubiler	gei-zha-dian
junior	ru-ce
junior (hierarchia)	ru-ce
jutro	shuang-zha
język	dong-tang
kaczka	yamo-nong
kaczka mandarynka	yamo-ma
kaczka mandarynka (para)	yamo-ma
kadzidło	jia-biao
kadzielnica	yang-cang
kalendarz księżycowy	guango-peng
kalendarz słoneczny	zhuan-zang
kaligraf	ling-mie-rang
kaligrafia	wa-shuo
kaligraficzny skarb	juan-tai
kamieniarz	cun-lou
kamienna płyta	xue-mo
kamień	zhio
kamień do rozcierania tuszu	zhio-jiao
kamień)	zhio-chu-o
kampania wojenna	he-peng
kanclerz	gui-lai
kanon klasyczny	zong-lu
kao-Fa wątroby	tian-he
kapitan	gan-liao
kapusta chińska	caio-dou
kara	chong-cuo
kara śmierci	pin-tai
karmić piersią	wu-wei
karp	lio-de
kaszleć	xue-kuan
katar	xian-qiu
katastrofa	huang-fu
katastrofa spowodowana przez	jing-xi-reng
kawaleria	ta-kun
kawałek	xiong-wa
kawałek, bryła	xiong-wa
kawiarnia	ze-ban-yuan
kawowy	ran-pan
kałamarnica	tou-chun
każdy	kun
każdy z osobna	xiong-mang
